ds,y,RESP,MA_ATM,bar
2019-08-06,131950000.0,-62,40313082,62
2019-08-07,175250000.0,-69,44864559,69
2019-08-08,272150000.0,-114,74124054,114
2019-08-09,179600000.0,-95,61770045,95
2019-08-10,161500000.0,-70,45514770,70
2019-08-11,105120000.0,77368,55918146,86
2019-08-12,192466000.0,55473,87778485,135
2019-08-13,224850000.0,-113,73473843,113
2019-08-14,149750000.0,-79,51366669,79
2019-08-15,167500000.0,-78,50716458,78
2019-08-16,208950000.0,-96,62420256,96
2019-08-17,102700000.0,-69,44864559,69
2019-08-18,63750000.0,-44,28609284,44
2019-08-19,186450000.0,-83,53967513,83
2019-08-20,146500000.0,-62,40313082,62
2019-08-21,189890000.0,20765,57218568,88
2019-08-22,145650000.0,1896,58518990,90
2019-08-23,140950000.0,-79,51366669,79
2019-08-24,106300000.0,-62,40313082,62
2019-08-25,71000000.0,-43,27959073,43
2019-08-26,202950000.0,-96,62420256,96
2019-08-27,194000000.0,-91,59169201,91
2019-08-28,147350000.0,-81,52667091,81
2019-08-29,150400000.0,-73,47465403,73
2019-08-30,197500000.0,-104,67621944,104
2019-08-31,205700000.0,-108,70222788,108
2019-09-01,82450000.0,-51,33160761,51
2019-09-02,101000000.0,-49,31860339,49
2019-09-03,278400000.0,-101,65671311,101
2019-09-04,219500000.0,-80,52016880,80
2019-09-05,148000000.0,-67,43564137,67
2019-09-06,295400000.0,-117,76074687,117
2019-09-07,153350000.0,-71,46164981,71
2019-09-08,154250000.0,-70,45514770,70
2019-09-09,212200000.0,-96,62420256,96
2019-09-10,143208000.0,96217,67621944,104
2019-09-11,299400000.0,45542,88428696,136
2019-09-12,191350000.0,-68,44214348,68
2019-09-13,133400000.0,-68,44214348,68
2019-09-14,168480000.0,25735,53967513,83
2019-09-15,91900000.0,71424,46815192,72
2019-09-16,253620000.0,63407,94280595,145
2019-09-17,216750000.0,-94,61119834,94
2019-09-18,140950000.0,-65,42263715,65
2019-09-19,111000000.0,-60,39012660,60
2019-09-20,147200000.0,15809,51366669,79
2019-09-21,166600000.0,-72,46815192,72
2019-09-22,91600000.0,-64,41613504,64
2019-09-23,134850000.0,-80,52016880,80
2019-09-24,134600000.0,-66,42913926,66
